signal_id,campaign_phase,is_anomalous,exit_code,duration,median_rms,sample_rate,rms,mean,std_dev,crest_factor,peak_to_peak,entropy,peak_count,kurtosis,skewness,zcr,energy_low,energy_mid,energy_high,peak_freq,peak_magnitude,spectral_entropy,spectral_crest,harmonic_distortion,spectral_flatness,spectral_rolloff,hnr,harmonic_1_freq,harmonic_1_mag,harmonic_2_freq,harmonic_2_mag,harmonic_3_freq,harmonic_3_mag,harmonic_4_freq,harmonic_4_mag
464,operation,True,1,0.23277902603149414,0.0048601512061225835,10000000000,0.004834985784752887,0.00010061309607497567,0.0048339388229125015,4.395872316114013,0.0423419136,-6783.7383923623765,29321,1.4609204521947872,-0.2596008953299353,431178275.28689885,2861233.1637839787,54200.517281684355,7920.639616512469,39319842.72062912,50.997912823229214,2.486449656032153,952.2129588705517,0.9899018250387572,0.3372557511590457,856836572.6537094,-35.263453175395895,78639685.44125824,33.1991312592285,117959528.16188735,15.862556338984614,157279370.88251647,19.83300881065465,196599213.6031456,28.308561738363814
465,operation,True,1,0.2348160743713379,0.004705407510773112,10000000000,0.004715667663441435,0.00016213029027131888,0.0047128797227389265,4.5070988197011985,0.0423419136,-6839.323643869246,28764,1.627539884766887,-0.2640192870162656,435638257.4469702,2725106.433412839,50075.86242512437,7746.174815427153,42579829.68068127,52.26687763034246,2.6211992490960836,1575.7653437132656,0.6249886958928058,0.3415031437676055,859976560.0937597,-38.85686472106552,85159659.36136255,25.293000443100276,127739489.04204383,18.2548714533447,170319318.7227251,6.956605041698756,212899148.40340638,6.760959092778348
466,operation,True,1,0.2340259552001953,0.004679561809980269,10000000000,0.00469090511219667,6.767995464090143e-05,0.0046904168466536805,4.530891086399983,0.0423419136,-6827.53833254241,29436,1.3217491342448975,-0.21628611026926822,446418214.3271427,2689918.5406415653,53449.61069471074,7728.480369233935,40879836.480654076,52.162490831939,2.54586327965494,486.4201503841642,0.7741606235484504,0.343008243084199,864276542.8938284,-36.98029299633474,81759672.96130815,29.228783612811352,122639509.44196223,21.86736818718428,163519345.9226163,15.881074676897722,204399182.4032704,6.782745339799022
467,operation,True,1,0.23160076141357422,0.0048124517360880435,10000000000,0.00484684087765782,0.00019902268056071776,0.004842752984197858,4.385120266269344,0.0423419136,-6776.174052163868,28281,1.402439668169717,-0.23908218406236498,412618349.5266019,2886194.066196845,47345.34072072023,7843.2811790230935,41339834.64066143,53.0018492181826,2.4090474111250746,1236.6255437299626,0.7031184258955501,0.3386007619937447,855496578.013688,-37.90868697003224,82679669.28132287,23.962241906239935,124019503.92198431,23.041636501396816,165359338.56264573,16.608492679559173,206699173.20330718,2.801725693141824
468,operation,True,1,0.4350905418395996,0.004838394789908206,10000000000,0.004833954115668217,0.000131841678750725,0.004832155850562964,4.396810489183135,0.0423419136,-6777.761204938434,29158,1.4197968370972163,-0.19737321120644,418878324.486702,2863366.37856927,51900.24360032731,7748.774583784851,43259826.96069216,51.79783393888687,2.2744206345228006,678.8264815196288,0.709993471915069,0.3371220687155294,848936604.253583,-38.0172735765641,86519653.92138432,31.40051791048288,129779480.88207647,18.169885062500125,173039307.84276864,5.944429852657473,216299134.80346078,-1.004887416205481
469,operation,True,1,0.23164844512939453,0.004773695651903614,10000000000,0.004796773828424446,0.00020623129765464938,0.004792338449329868,4.430890619452264,0.0423419136,-6798.117072415723,28318,1.4693363444512793,-0.2689810145988016,410718357.1265715,2827055.533878212,46570.482055952365,7773.160510233302,43699825.200699195,53.18907271715409,2.398472960588933,-3508.031617356863,0.7284175537113876,0.34013986191506185,858476566.0937356,-37.47868924117854,87399650.40139839,25.953464847085183,131099475.60209759,21.83573953407504,174799300.80279678,13.518498079700423,218499126.003496,12.959729623462042
46,operation,True,1,0.23437094688415527,0.004870409251189345,10000000000,0.004850821783280062,0.00018442582864644546,0.004847314626354723,4.3815215461550805,0.0423419136,-6768.157924024049,28310,1.3057467538114276,-0.25543472008325474,400478398.08640766,2891038.161582184,46596.45412384636,7875.169634797691,38319846.720613115,50.95669543092667,2.7296285035558014,30629.541979023066,0.5703754261461692,0.33737829842255274,854416582.3336706,-40.07412065604471,76639693.44122623,8.451972754396651,114959540.16183935,17.847761569266222,153279386.88245246,15.947192922991107,191599233.60306558,14.158060366582305
470,operation,False,0,0.22925043106079102,0.004816640600979023,10000000000,0.004809714136400958,0.00015078451764836937,0.004807350008386404,4.418969518197615,0.0423419136,-6789.883366431467,29120,1.4687080281617293,-0.2554804091815153,423358306.5667737,2834090.276294901,52703.4307891191,7670.187045885003,43539825.84069664,52.81622276074647,2.363653588519906,730.7935613624956,0.4240880553293728,0.3396619872466119,856116575.5336978,-42.26874181816985,87079651.68139328,16.433978557610303,130619477.52208991,12.910110939139805,174159303.36278656,6.007690837253746,217699129.2034832,-5.372532448118257
471,operation,True,1,0.2328023910522461,0.004857475647328193,10000000000,0.004850296837809065,0.0001400984654636981,0.0048482730775849785,4.3819957562846135,0.0423419136,-6770.386338529325,28188,1.4641259961094493,-0.24026971538791994,395198419.2063232,2888948.804156965,46327.40391915158,7800.880143660507,42039831.840672635,51.50458005500167,2.6286197640068014,1431.7463127856213,0.7991250746845356,0.33856376898764695,855556577.7736889,-37.04080900920063,84079663.68134527,31.6469712120427,126119495.52201791,20.1700298681561,168159327.36269054,12.962869280053727,210199159.20336318,10.845902270386807
472,operation,True,1,0.23934292793273926,0.004890682990446473,10000000000,0.004882393849479803,0.00016288382413666346,0.004879676071346624,4.353188377513731,0.0423419136,-6749.347063724506,28994,1.2248197474343865,-0.21457183202552343,412658349.3666025,2923773.7449781634,51355.435859761354,7853.788690982142,46899812.4007504,50.570453199660335,2.5501402916781326,326.14394910528233,0.8136546455380557,0.3384819605093081,852976588.0936476,-37.10533366900752,93799624.8015008,26.309774149573492,140699437.2022512,23.259185181273313,187599249.6030016,13.851233074845585,234499062.003752,16.371179198317613
